uuid,name,price,processor,memory,hard_drive,graphics,img
15bb270e-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$1,848.98 ",Intel Core i7-10750H,16,256GB_SSD+1TB_HDD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
15c57858-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$1,848.98 ",Intel Core i7-10750H,16,256GB_SSD+1TB_HDD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
1634b772-1444-11eb-9321-0242ac1c0002,XPS 13 (7390),"$1,848.99 ",Intel Core i5-10210U,8,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/Video_Imagery/all/italia-xps-13-7390-thumbnail-111519.jpg
1640627a-1444-11eb-9321-0242ac1c0002,XPS 13 (7390),"$1,848.99 ",Intel Core i5-10210U,8,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/Video_Imagery/all/italia-xps-13-7390-thumbnail-111519.jpg
164aa708-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 Laptop (7300),"$1,898.98 ",Intel Core i7-1165G7,8,512GB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/13_7300/pdp/evo/notebooks-inspiron-14-7300-laptop-pdp-design-gallery-504x350.jpg?fmt=jpg&wid=570&hei=400
1654c292-1444-11eb-9321-0242ac1c0002,New Inspiron 15 7501 Laptop,"$1,498.98 ",Intel Core i5-10300H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Videos_Images/en/3e4554b9-3080-4a01-bbe7-556b79678c6e.jpg
165ebf54-1444-11eb-9321-0242ac1c0002,New G5 15 5500 Laptop,"$1,898.99 ",Intel Core i7-10750H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/68603_g_series_g5_15_5500_light_360_thumb_1280x720_nvidia.jpg
16694d3e-1444-11eb-9321-0242ac1c0002,XPS 13 (7390),"$1,999.00 ",Intel Core i5-10210U,8,256GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/Video_Imagery/all/italia-xps-13-7390-thumbnail-111519.jpg
1672fffa-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$1,948.98 ",Intel Core i7-10750H,16,256GB_SSD+1TB_HDD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
167ca50a-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$1,948.98 ",Intel Core i7-10750H,16,256GB_SSD+1TB_HDD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
